Date,Close
2016-9-1 下午03:16:00,13.48
2016-9-2 下午03:16:00,11.98
2016-9-6 下午03:16:00,12.02
2016-9-7 下午03:16:00,11.94
2016-9-8 下午03:16:00,12.51
2016-9-9 下午03:16:00,17.5
2016-9-12 下午03:16:00,15.16
2016-9-13 下午03:16:00,17.85
2016-9-14 下午03:16:00,18.14
2016-9-15 下午03:16:00,16.3
2016-9-16 下午03:16:00,15.37
2016-9-19 下午03:16:00,15.53
2016-9-20 下午03:16:00,15.92
2016-9-21 下午03:16:00,13.3
2016-9-22 下午03:16:00,12.02
2016-9-23 下午03:16:00,12.29
2016-9-26 下午03:16:00,14.5
2016-9-27 下午03:16:00,13.1
2016-9-28 下午03:16:00,12.39
2016-9-29 下午03:16:00,14.02
2016-9-30 下午03:16:00,13.29
2016-10-3 下午03:16:00,13.57
2016-10-4 下午03:16:00,13.63
2016-10-5 下午03:16:00,12.99
2016-10-6 下午03:16:00,12.84
2016-10-7 下午03:16:00,13.48
2016-10-10 下午03:16:00,13.38
2016-10-11 下午03:16:00,15.36
2016-10-12 下午03:16:00,15.91
2016-10-13 下午03:16:00,16.69
2016-10-14 下午03:16:00,16.12
2016-10-17 下午03:16:00,16.21
2016-10-18 下午03:16:00,15.28
2016-10-19 下午03:16:00,14.41
2016-10-20 下午03:16:00,13.75
2016-10-21 下午03:16:00,13.34
2016-10-24 下午03:16:00,13.02
2016-10-25 下午03:16:00,13.46
2016-10-26 下午03:16:00,14.24
2016-10-27 下午03:16:00,15.36
2016-10-28 下午03:16:00,16.19
2016-10-31 下午03:16:00,17.06
2016-11-1 下午03:16:00,18.56
2016-11-2 下午03:16:00,19.32
2016-11-3 下午03:16:00,22.08
2016-11-4 下午03:16:00,22.51
2016-11-7 下午03:16:00,18.71
2016-11-8 下午03:16:00,18.74
2016-11-9 下午03:16:00,14.38
2016-11-10 下午03:16:00,14.74
2016-11-11 下午03:16:00,14.17
2016-11-14 下午03:16:00,14.48
2016-11-15 下午03:16:00,13.37
2016-11-16 下午03:16:00,13.72
2016-11-17 下午03:16:00,13.35
2016-11-18 下午03:16:00,12.85
2016-11-21 下午03:16:00,12.42
2016-11-22 下午03:16:00,12.41
2016-11-23 下午03:16:00,12.43
2016-11-25 下午03:16:00,12.34
2016-11-28 下午03:16:00,13.15
2016-11-29 下午03:16:00,12.9
2016-11-30 下午03:16:00,13.33
2016-12-1 下午03:16:00,14.07
2016-12-2 下午03:16:00,14.12
2016-12-5 下午03:16:00,12.14
2016-12-6 下午03:16:00,11.79
2016-12-7 下午03:16:00,12.22
2016-12-8 下午03:16:00,12.64
2016-12-9 下午03:16:00,11.75
2016-12-12 下午03:16:00,12.64
2016-12-13 下午03:16:00,12.72
2016-12-14 下午03:16:00,13.19
2016-12-15 下午03:16:00,12.79
2016-12-16 下午03:16:00,12.2
2016-12-19 下午03:16:00,11.71
2016-12-20 下午03:16:00,11.45
2016-12-21 下午03:16:00,11.27
2016-12-22 下午03:16:00,11.43
