Date,Close
2016-9-1 下午04:00:00,23.57
2016-9-2 下午04:00:00,23.68
2016-9-6 下午04:00:00,23.8
2016-9-7 下午04:00:00,23.86
2016-9-8 下午04:00:00,23.66
2016-9-9 下午04:00:00,23.08
2016-9-12 下午04:00:00,23.47
2016-9-13 下午04:00:00,23.3
2016-9-14 下午04:00:00,23.41
2016-9-15 下午04:00:00,23.79
2016-9-16 下午04:00:00,23.61
2016-9-19 下午04:00:00,23.56
2016-9-20 下午04:00:00,23.55
2016-9-21 下午04:00:00,23.81
2016-9-22 下午04:00:00,23.96
2016-9-23 下午04:00:00,23.75
2016-9-26 下午04:00:00,23.61
2016-9-27 下午04:00:00,23.87
2016-9-28 下午04:00:00,23.91
2016-9-29 下午04:00:00,23.77
2016-9-30 下午04:00:00,23.89
2016-10-3 下午04:00:00,23.82
2016-10-4 下午04:00:00,23.74
2016-10-5 下午04:00:00,23.82
2016-10-6 下午04:00:00,23.88
2016-10-7 下午04:00:00,23.81
2016-10-10 下午04:00:00,23.98
2016-10-11 下午04:00:00,23.71
2016-10-12 下午04:00:00,23.75
2016-10-13 下午04:00:00,23.6
2016-10-14 下午04:00:00,23.69
2016-10-17 下午04:00:00,23.64
2016-10-18 下午04:00:00,23.77
2016-10-19 下午04:00:00,23.81
2016-10-20 下午04:00:00,23.7
2016-10-21 下午04:00:00,23.77
2016-10-24 下午04:00:00,24
2016-10-25 下午04:00:00,23.91
2016-10-26 下午04:00:00,23.78
2016-10-27 下午04:00:00,23.75
2016-10-28 下午04:00:00,23.72
2016-10-31 下午04:00:00,23.71
2016-11-1 下午04:00:00,23.51
2016-11-2 下午04:00:00,23.36
2016-11-3 下午04:00:00,23.13
2016-11-4 下午04:00:00,23.09
2016-11-7 下午04:00:00,23.59
2016-11-8 下午04:00:00,23.71
2016-11-9 下午04:00:00,23.68
2016-11-10 下午04:00:00,23.3
2016-11-11 下午04:00:00,23.37
2016-11-14 下午04:00:00,23.01
2016-11-15 下午04:00:00,23.34
2016-11-16 下午04:00:00,23.55
2016-11-17 下午04:00:00,23.7
2016-11-18 下午04:00:00,23.68
2016-11-21 下午04:00:00,23.92
2016-11-22 下午04:00:00,24
2016-11-23 下午04:00:00,23.9
2016-11-25 下午04:00:00,24
2016-11-28 下午04:00:00,24.02
2016-11-29 下午04:00:00,24.04
2016-11-30 下午04:00:00,23.75
2016-12-1 下午04:00:00,23.26
2016-12-2 下午04:00:00,23.35
2016-12-5 下午04:00:00,23.57
2016-12-6 下午04:00:00,23.64
2016-12-7 下午04:00:00,24.09
2016-12-8 下午04:00:00,24.15
2016-12-9 下午04:00:00,24.33
2016-12-12 下午04:00:00,24.25
2016-12-13 下午04:00:00,24.56
2016-12-14 下午04:00:00,24.47
2016-12-15 下午04:00:00,24.58
2016-12-16 下午04:00:00,24.3
2016-12-19 下午04:00:00,24.47
2016-12-20 下午04:00:00,24.56
2016-12-21 下午04:00:00,24.51
2016-12-22 下午04:00:00,24.46
2016-12-23 下午04:00:00,24.49
2016-12-27 下午04:00:00,24.59
2016-12-28 下午04:00:00,24.37
2016-12-29 下午04:00:00,24.37
2016-12-30 下午04:00:00,24.18
2017-1-3 下午04:00:00,24.4
2017-1-4 下午04:00:00,24.48
2017-1-5 下午04:00:00,24.52
2017-1-6 下午04:00:00,24.7
2017-1-9 下午04:00:00,24.7
2017-1-10 下午04:00:00,24.7
2017-1-11 下午04:00:00,24.82
2017-1-12 下午04:00:00,24.76
2017-1-13 下午04:00:00,24.83
2017-1-17 下午04:00:00,24.74
2017-1-18 下午04:00:00,24.8
2017-1-19 下午04:00:00,24.77
2017-1-20 下午04:00:00,24.9
2017-1-23 下午04:00:00,24.95
2017-1-24 下午04:00:00,25.1
2017-1-25 下午04:00:00,25.34
2017-1-26 下午04:00:00,25.27
2017-1-27 下午04:00:00,25.37
2017-1-30 下午04:00:00,25.17
2017-1-31 下午04:00:00,25.04
2017-2-1 下午04:00:00,25.23
2017-2-2 下午04:00:00,25.18
2017-2-3 下午04:00:00,25.35
2017-2-6 下午04:00:00,25.36
2017-2-7 下午04:00:00,25.46
2017-2-8 下午04:00:00,25.51
2017-2-9 下午04:00:00,25.59
2017-2-10 下午04:00:00,25.66
2017-2-13 下午04:00:00,25.78
2017-2-14 下午04:00:00,25.86
2017-2-15 下午04:00:00,25.95
2017-2-16 下午04:00:00,26.01
